Business Name,Category,Area (Nagpur),Instagram Handle,Follower Count,Last Post Date,Pain Score,Unique Detail,Status
Dolly Chaiwala,other,"VCA Stadium Square, Nagpur",@dolly_ki_tapri_nagpur,"4.5M+ (Instagram), 1.46M (YouTube)",active (franchise expansion posts in 2026),8.4,Sunil Patil went viral serving tea to Bill Gates in Feb 2024. His Jack Sparrow-inspired serving style turned a roadside stall into a tourist attraction. Now franchising across India with cart models at ₹4.5-6 lakh.,HOT
Raavan Tea Stall,other,"Dharampeth, Nagpur",not found (only location tagged posts by others),not found,not found,8.4,"Located near Sathe Jewellers in Dharampeth, rated 4.6/5 on Justdial with 21 reviews. Known for late-night chai and bun maska cravings.",HOT
Arun Tea Centre,other,"Tiranga Square, Nagpur",@arun.tea.stall,limited info,limited info,8.4,"Located at Tiranga Square, Nagpur. Found Instagram handle but appears to be a food review page visiting the stall rather than an official business account.",HOT
Santosh Chaiwala,other,"Laxmi Nagar Square, Nagpur",not found (MBA Chaiwala @mbachaiwalanagpur is nearby but different),not found,not found,8.4,Located at Laxmi Nagar Square. Sells 1200-1500 cups daily (8:30am-7pm). One of Nagpur's most popular chaiwalas per Times of India.,HOT
Baba Chaiwala,other,"Mohd Ali Road, Nagpur",not found,not found,not found,8.4,"Located on Mohammed Ali Road, Mominpura area. Referenced in local food guides as a popular chai spot in the area.",HOT
Khetlaapa Tea Stall,other,Nagpur,"@khetlaapa_tea_sachin (Surat branch, not Nagpur)",limited info,limited info,8.4,Has Instagram location pages with 123+ posts tagged by customers. Open 24 hours. Known for consistent chai regardless of weather.,HOT
Shraddha Farsan,other,Nagpur,@shraddha_farsan (tagged by food bloggers),limited info,active (posts from 2024-2026 by visitors),8.4,"Established 1984 by Raju ji Kashyap. Started as a tea stall, now famous for Tarri Poha (₹35/plate, 7am-12pm) and Samosa with Matha. Considered one of the top 3 tarri poha spots in Nagpur.",HOT
SLV Chinese,other,"Telephone Exchange Chowk, Nagpur",not found (only tagged in food blogger reels),not found,not found,8.4,Located at Telephone Exchange Chowk / Chapru Nagar area. Known for bulk Chinese food orders and Manchurian. Referenced as Nagpur's OG Chinese street food spot.,HOT
Shreenath Pav Bhaji And Pulao Center,other,Nagpur,@shreenathpavbhaji_indore (Indore branch manages social),limited info,"active (Indore branch posts regularly, Nagpur location tagged)",8.4,Operating since 1972 in Nagpur. Located opposite Yashwant Stadium. Even Nitin Gadkari is a known fan. Butter Pav Bhaji & Pulao are signature items. ₹70 self-service.,HOT
Pamma Panjabi Family Dhaba,dhaba,Nagpur,not found (only location tagged posts),not found,not found,8.3,"Located in Mihan, opposite Bharat Petrol Pump on Aurangabad Road. Open 24 hours. Known for authentic Punjabi flavors — Dal Makhni, Chicken Oil Roast, Dhaba Style French Fries. ₹300 for two.",HOT
Rana Punjabi Dhaba,dhaba,"Amravati Road, Nagpur",@ranapunjabidhaba,limited info (188 posts on location page),active (regular posts),8.3,Started Jan 2014 by late Mr. Rajinder Rana on Amravati Road (25-28km from Nagpur). Known as Amravati Road's first family dhaba. Famous for Vegetarian Kababs made with Spinach. Open 24 hours.,HOT
Jassi Da Chulha Dhaba,dhaba,Nagpur,not found (only tagged in food blogger content),not found,not found,8.3,"Located in Parsodi, Nagpur. Known for Dal Makhani and Chicken with proper Punjabi pind da swad. All menu items under ₹200. Opens 12pm-11:30pm.",HOT
Gabbar Da Dhaba,dhaba,"Wardha Road, Nagpur",@gabbar.da.dhaba,limited info,active (posts from 2024-2026),8.3,"Located at Food Hub Jamtha, Wardha Road behind Indian Oil Petrol Pump. Has everything from food to supermarket to cafe all in one dhaba. Known for Handi Chicken and biryani.",HOT
Sher-e-Punjab Dhaba,dhaba,"Koradi Road, Nagpur",@sherepunjab_dhaba_nagpur,"432 followers, 136 posts",active,8.3,"Located on Koradi Road. Rated 3.7/5 with 746 reviews on Justdial. Known for Shev Bhaji. Family-friendly with party/event options. Fresh ingredients, hygienic kitchen.",HOT
Kartare Da Dhaba,dhaba,Nagpur,not found,not found,not found,8.3,Listed on Zomato as a popular dhaba in Nagpur. Limited online presence — only appears in aggregator listings.,HOT
Dawat Garden Family Restaurant,dhaba,Nagpur,@dawatrestaurant.official,limited info,active (posts from 2024-2026),8.3,"Family restaurant with indoor, outdoor, and private dining. Known for Dal Makhani, Malai Chaap, and biryanis. Located opposite Manish Nagar. Known for most affordable food in Nagpur.",HOT
Sardarji Dhaba,dhaba,"Outer Ring Road, Nagpur",@sardaarji_nagpur (Ramdaspeth location),limited info,active,8.3,Located on Outer Ring Road near Wardha Road toll plaza. Known for authentic Punjabi food with dhaba prices. Ghar jaisa swad positioning.,HOT
Shankar Savaji Bhojnalay,dhaba,Nagpur,@shankar_saoji,limited info,active (posts from 2023-2026),8.3,Authentic Saoji taste of Nagpur. Located at Hingna T Point / Trimurti Nagar area. Part of Nagpur's legendary Saoji food culture — known for spicy traditional Maharashtrian non-veg thali.,HOT
Banjo's Food Chain,fast food,"Umred Road, Nagpur",@banjos_india,limited info,active (grand opening posts Feb 2026),8.1,"India's fast-growing fast food chain that just opened its Nagpur outlet on Feb 2, 2026 at Umred Road. 53rd outlet nationally. Self-service model with 125+ products.",HOT
One Bite,fast food,Nagpur,@onebitefranchise,limited info,active (opening announcement posts 2024-2026),8.1,"India's fastest growing fast food brand opening 6-7 new outlets monthly. Nagpur outlet announced with in-house bread, sauces & cheese. 125+ products on menu.",HOT
Freakk De,fast food,Nagpur,not found,not found,not found,8.1,limited info,WARM
Starter Junction,cloud kitchen,Nagpur,not found,not found,not found,8.0,limited info,WARM
Rai's Cloud Kitchen,cloud kitchen,"Seminary Hills, Nagpur",not found,not found,not found,8.0,limited info,WARM
F2 The Cloud Kitchen,cloud kitchen,"Ayodhya Nagar, Nagpur",not found,not found,not found,8.0,limited info,WARM
